seed,total_steps,final_mars_dist_km,min_mars_dist_km,min_dist_step,final_mass_kg,fuel_consumed_kg,final_rel_vel_km_s,total_reward,missed_thrust_steps,is_intercepted,failure_reason,convergence_step,init_pos_x,init_pos_y,init_pos_z,init_vel_x,init_vel_y,init_vel_z,scenario
42,2799,212288796.65977842,101413942.81973086,23,1648.0,1099.0,21.534414839990067,-21235.93992822311,0,False,fuel exhausted,23,-127761765.999,67742862.352,29378238.56,-15.4827348,-23.69526119,-10.27023734,deterministic
43,2799,212288796.65977842,101413942.81973086,23,1648.0,1099.0,21.534414839990067,-21235.93992822311,0,False,fuel exhausted,23,-127761765.999,67742862.352,29378238.56,-15.4827348,-23.69526119,-10.27023734,deterministic
44,2799,212288796.65977842,101413942.81973086,23,1648.0,1099.0,21.534414839990067,-21235.93992822311,0,False,fuel exhausted,23,-127761765.999,67742862.352,29378238.56,-15.4827348,-23.69526119,-10.27023734,deterministic
45,2799,212288796.65977842,101413942.81973086,23,1648.0,1099.0,21.534414839990067,-21235.93992822311,0,False,fuel exhausted,23,-127761765.999,67742862.352,29378238.56,-15.4827348,-23.69526119,-10.27023734,deterministic
46,2799,212288796.65977842,101413942.81973086,23,1648.0,1099.0,21.534414839990067,-21235.93992822311,0,False,fuel exhausted,23,-127761765.999,67742862.352,29378238.56,-15.4827348,-23.69526119,-10.27023734,deterministic
47,2799,212288796.65977842,101413942.81973086,23,1648.0,1099.0,21.534414839990067,-21235.93992822311,0,False,fuel exhausted,23,-127761765.999,67742862.352,29378238.56,-15.4827348,-23.69526119,-10.27023734,deterministic
48,2799,212288796.65977842,101413942.81973086,23,1648.0,1099.0,21.534414839990067,-21235.93992822311,0,False,fuel exhausted,23,-127761765.999,67742862.352,29378238.56,-15.4827348,-23.69526119,-10.27023734,deterministic
49,2799,212288796.65977842,101413942.81973086,23,1648.0,1099.0,21.534414839990067,-21235.93992822311,0,False,fuel exhausted,23,-127761765.999,67742862.352,29378238.56,-15.4827348,-23.69526119,-10.27023734,deterministic
50,2799,212288796.65977842,101413942.81973086,23,1648.0,1099.0,21.534414839990067,-21235.93992822311,0,False,fuel exhausted,23,-127761765.999,67742862.352,29378238.56,-15.4827348,-23.69526119,-10.27023734,deterministic
51,2799,212288796.65977842,101413942.81973086,23,1648.0,1099.0,21.534414839990067,-21235.93992822311,0,False,fuel exhausted,23,-127761765.999,67742862.352,29378238.56,-15.4827348,-23.69526119,-10.27023734,deterministic
42,11040,369630729.3617283,101414086.56792377,23,2159.5715606988274,587.6841201075072,52.52599130472537,-5955.142175101313,23,False,time expired without intercept,23,-127761750.76314601,67742810.35279469,29378276.08255979,-15.481794235283608,-23.697212225188654,-10.271539519506861,mild
43,11040,369935103.71280235,101413893.16345553,23,2159.8622883348085,587.1710262663437,52.53831456276047,-5771.012275209379,26,False,time expired without intercept,23,-127761753.78752467,67742896.260916,29378209.283530932,-15.483643473123125,-23.697253028211122,-10.269265717018014,mild
