seed,total_steps,final_mars_dist_km,min_mars_dist_km,min_dist_step,final_mass_kg,fuel_consumed_kg,final_rel_vel_km_s,total_reward,missed_thrust_steps,is_intercepted,failure_reason,convergence_step,init_pos_x,init_pos_y,init_pos_z,init_vel_x,init_vel_y,init_vel_z
42,11040,369711059.15806234,101414832.38904375,23,2204.0341920084566,543.6050100073799,52.64432639297225,-5338.00885222054,848,False,time expired without intercept,23,-127761689.81973006,67742602.35597344,29378426.17279895,-15.478031976418043,-23.70501636594327,-10.276748237534312
43,11040,369216927.6425545,101413872.02183673,23,2186.614480304371,560.4688061985089,52.586109606094254,-5601.377372588581,485,False,time expired without intercept,23,-127761704.94162333,67743031.89658001,29378092.17765466,-15.487278165615626,-23.705220381055607,-10.265379225090069
44,11040,368880166.6194609,101414279.44081178,24,2192.1437432879684,552.9604037934278,52.5805241105578,-5534.434740827765,665,False,time expired without intercept,24,-127761404.50831677,67742887.92828491,29378320.24819444,-15.477052488026787,-23.69113997032116,-10.267342557447776
45,11040,369481224.7369888,101414156.38621482,23,2198.746637290809,550.9117028994447,52.70426923605968,-5196.19895259753,641,False,time expired without intercept,23,-127761880.46530159,67742706.63732946,29378272.382506605,-15.478515287030966,-23.69600368344077,-10.268924921090719
46,11040,369485572.97404903,101414333.93198209,23,2201.823809102886,545.0598269871334,52.582700869402494,-5490.175144561749,793,False,time expired without intercept,23,-127761891.72797498,67743166.82460926,29378170.78014826,-15.479083883380138,-23.701107717584982,-10.277384674497682
47,11040,368573168.256953,101413529.45807981,24,2198.2915282722147,545.0379588428036,52.569272292046286,-6070.041037228417,804,False,time expired without intercept,24,-127761932.60823503,67742886.71474144,29377763.648292802,-15.492435148794023,-23.702313785688506,-10.274240283604916
48,11040,370535591.2216323,101414122.88413964,24,2209.1088817891764,542.1933678949008,52.75028919444823,-4799.056055136595,786,False,time expired without intercept,24,-127761842.90530652,67743199.74981634,29378286.766636405,-15.475702010193409,-23.694450159935034,-10.275330403607486
49,11040,368621934.98297495,101413369.5777057,24,2199.0812369015844,544.9787394459768,52.52995914948553,-5702.346527809866,808,False,time expired without intercept,24,-127761623.3349966,67743208.0040355,29378298.273439504,-15.490331631174248,-23.694660372883497,-10.269692135740966
50,11040,370529008.85357594,101413041.84672236,25,2197.197442542724,552.4743017586516,52.73247798397952,-4707.766521125483,619,False,time expired without intercept,25,-127761644.40364899,67742743.00400536,29378405.89490491,-15.489671272722958,-23.68693174785171,-10.27119199758601
51,11040,369356614.65689135,101414428.76254621,23,2199.834298185482,543.172026283909,52.65101464559057,-5400.539245446091,822,False,time expired without intercept,23,-127761909.77670757,67742706.82717085,29378258.623698816,-15.476472438251442,-23.69688067310737,-10.275745558783802
52,11040,368119042.79014206,101413826.30435908,24,2203.025530437028,544.9219297344011,52.62506915306841,-5873.522022803302,778,False,time expired without intercept,24,-127761972.48655649,67742922.97842528,29378222.597229213,-15.483206618530064,-23.69364392924984,-10.266907565833867
53,11040,371326562.24074745,101413720.71707946,24,2211.2189461922476,542.376306911568,52.724852922627534,-4271.976966334566,743,False,time expired without intercept,24,-127761739.82858446,67742660.71567164,29378461.55328256,-15.48737755379988,-23.700939528386264,-10.267670049947005
54,11040,369870983.6632552,101414065.14106753,23,2196.8021304406707,547.363919747716,52.63015311228932,-4847.232030665563,762,False,time expired without intercept,23,-127762008.80683155,67742813.02706096,29378549.8110405,-15.473990687747474,-23.697841552020126,-10.263761403569102
55,11040,370575276.85543716,101415137.98716861,24,2207.856193350442,546.6431147506091,52.762791081971436,-4597.266001128428,654,False,time expired without intercept,24,-127761555.43367098,67742118.32420713,29378162.304029852,-15.475485360388005,-23.701480997359283,-10.26997128701142
56,11040,370156059.43118507,101413569.62697913,24,2202.4509079984523,548.1924196502036,52.6194045512101,-4927.471503925997,664,False,time expired without intercept,24,-127761978.48417933,67742942.83721203,29378685.820714943,-15.478338104019004,-23.6934032258969,-10.262798871082593
57,11040,367573308.6950033,101414275.22854362,24,2194.353890677387,546.7196648737995,52.487868558674364,-6015.510457465042,865,False,time expired without intercept,24,-127761683.08729766,67742977.47974464,29378628.034197457,-15.476065376386648,-23.694470234924733,-10.268407942102625
58,11040,368201830.1579118,101413750.77455367,23,2206.4593688112673,544.2298292815817,52.60813532956187,-5940.132385557835,750,False,time expired without intercept,23,-127761909.7658353,67742885.36793408,29377710.617192693,-15.489720028141571,-23.699043849140715,-10.271348648440826
59,11040,368598703.6162052,101413852.18449202,23,2197.149450294461,549.37681625499,52.473639005694416,-5989.678958878752,709,False,time expired without intercept,23,-127762017.74792807,67743262.93414897,29378718.990293127,-15.482815905717144,-23.699944487307487,-10.273191735104406
60,11040,369665797.21842194,101413413.33078063,24,2206.0129823665466,546.8878456195175,52.5899455024066,-5387.248438818931,770,False,time expired without intercept,24,-127762028.80508839,67742771.85514311,29378441.466479916,-15.488990954073936,-23.70164067573159,-10.26486844282607
61,11040,369666635.1687012,101413490.83273013,23,2206.39579108394,544.8104649780621,52.594426217479445,-5523.330410297805,730,False,time expired without intercept,23,-127761907.68994236,67742598.20845465,29378504.07998174,-15.48838156082231,-23.704158216540478,-10.266962558828222
62,11040,369497290.08086807,101413679.81190923,23,2181.850405208011,563.9171897275128,52.57051090006104,-5648.367115047874,500,False,time expired without intercept,23,-127762021.56328632,67742493.64813037,29378121.224493705,-15.484866476408847,-23.699849626657063,-10.271694368772522
63,11040,370321319.73830736,101413445.02307159,24,2212.2903017243225,541.7425789717427,52.63684451880187,-4538.127709333037,759,False,time expired without intercept,24,-127761587.99655314,67743443.05308211,29377823.61610969,-15.483171296100418,-23.689096541875763,-10.264893282394272
64,11040,368476356.6704102,101413817.41881956,24,2195.9916699887603,546.0069775119564,52.50143021143054,-5347.676885537841,842,False,time expired without intercept,24,-127761896.6300432,67742817.44355938,29377879.425366715,-15.479568532259263,-23.688514442886042,-10.264046662400242
65,11040,369500029.10095173,101413138.52648012,23,2196.7091747808126,550.7274292396073,52.6337830790319,-5310.637399665028,693,False,time expired without intercept,23,-127762044.12700947,67742911.21733351,29378548.730506238,-15.490572872698868,-23.698447412583903,-10.274012538902644
66,11040,371114526.38535696,101414010.1481246,23,2201.1458900893745,548.3632501443244,52.714874949021855,-4449.340128201676,671,False,time expired without intercept,23,-127761630.74067196,67742727.37262422,29378115.38119235,-15.488032727169342,-23.701891261421743,-10.277996110373278
67,11040,369751959.2166161,101413303.46406145,24,2197.391253732,552.181952477838,52.63076374896863,-4951.031936115927,641,False,time expired without intercept,24,-127761909.36031438,67742867.15471701,29378210.498838816,-15.484615353030689,-23.688083748198395,-10.26602813864577
68,11040,368493526.36169845,101413739.87444651,23,2189.5957167200604,557.6058300098061,52.51950722814138,-5643.384547937419,579,False,time expired without intercept,23,-127761299.11525516,67743077.90416245,29378416.17965059,-15.482662939832233,-23.68865317702902,-10.266202163309583
69,11040,369150834.9512227,101413264.28282486,24,2214.713415702069,537.1654962657399,52.69057508366385,-5453.7107491367415,810,False,time expired without intercept,24,-127761587.42154105,67742947.0024362,29378903.985914107,-15.487708743472366,-23.703235571765934,-10.265024977063387
70,11040,369368150.7126969,101413746.87385437,24,2209.756170502852,539.557478467983,52.65962439835052,-5194.491210558641,863,False,time expired without intercept,24,-127761786.81308365,67742609.40933473,29378465.146437027,-15.484961155485056,-23.68823979577039,-10.277559580493431
71,11040,369071514.279679,101413799.26272969,23,2203.2130137553145,545.5123646107377,52.59235855496186,-5275.600314414848,796,False,time expired without intercept,23,-127761753.8187691,67742991.89287783,29378211.035149753,-15.483179968814115,-23.692748671756,-10.267684470688708
72,11040,369234112.79193616,101413299.43376832,24,2203.7863819656736,548.2275505721345,52.627656186361655,-5709.01813956919,689,False,time expired without intercept,24,-127762016.83053243,67742855.27757521,29378384.983384848,-15.49117021695527,-23.70224701895506,-10.275025758598181
73,11040,369804322.0295695,101414074.7975876,23,2201.9385608867965,547.568317037942,52.66301404063529,-5053.472119322427,698,False,time expired without intercept,23,-127762039.32547638,67743056.87395804,29378143.15742362,-15.481255444518533,-23.693578978816895,-10.27997127326584
74,11040,369355182.9238828,101413828.60176209,24,2199.9917667393443,547.2191603455767,52.60873592601795,-5688.5261961419765,722,False,time expired without intercept,24,-127761704.37688653,67742913.97980127,29378422.755526282,-15.48387813055556,-23.699584153694644,-10.271845448419226
75,11040,369599214.8960781,101413597.82819217,24,2213.6696509233493,535.5574313808411,52.67033783163628,-4931.377147582995,893,False,time expired without intercept,24,-127762043.12719299,67742961.44705202,29378340.107726216,-15.480554006186896,-23.69271101452469,-10.27011375794242
76,11040,368626064.6179616,101413623.06711519,23,2206.633537464276,543.5102886437253,52.601438657068385,-5598.820099240308,775,False,time expired without intercept,23,-127761908.67074688,67743300.05941607,29378483.598024923,-15.480200267701859,-23.689895818161723,-10.27805881143798
77,11040,369395485.7857509,101413351.84197728,25,2185.1848665296525,560.0426015279904,52.63225818595182,-5823.38893282829,520,False,time expired without intercept,25,-127761659.05650894,67742719.64261077,29378902.17517243,-15.49077752476432,-23.69195261169168,-10.270954469719895
78,11040,368334758.0354517,101413188.58342709,24,2197.6440405394815,549.588019688606,52.65959683370432,-6023.411562337825,740,False,time expired without intercept,24,-127761935.13614869,67742961.24463196,29378143.15418695,-15.488204325844464,-23.691711297847682,-10.271954611691406
79,11040,368316181.5902013,101413545.69053198,24,2184.2612919209964,553.6527405013917,52.48075800214881,-6267.687088982871,765,False,time expired without intercept,24,-127761610.85813586,67742678.99835351,29378341.064511158,-15.485385783635362,-23.688774236337743,-10.270200444223875
80,11040,368276429.7679212,101414030.43665093,24,2189.7747707468798,557.8905174465476,52.635365372079264,-6167.352369082923,522,False,time expired without intercept,24,-127761524.92923026,67742759.54117988,29378093.4788689,-15.488732047115807,-23.701148554717612,-10.257472117095658
81,11040,369856823.4735284,101413647.19325997,24,2207.6275700877427,546.074473184698,52.724831937980014,-4875.72809386258,657,False,time expired without intercept,24,-127761624.4631311,67743056.10441753,29378058.805224326,-15.480227976476076,-23.68910849481122,-10.270013445452246
82,11040,368494039.32081205,101413742.0004003,24,2184.9823840626195,553.483289671251,52.46205007484354,-5878.837260121017,710,False,time expired without intercept,24,-127761333.9582835,67743119.09603313,29378515.66147237,-15.487590757735717,-23.698280671445026,-10.274033970110153
83,11040,369376425.3955373,101413703.9659173,23,2202.4120355155055,545.675404613085,52.63386064191383,-5334.753663794968,742,False,time expired without intercept,23,-127762132.7314365,67742757.44247517,29378228.417812362,-15.480770812775793,-23.700434425410474,-10.264300648449144
84,11040,370029636.0332078,101414587.85842864,22,2206.6672570116784,543.5216058548458,52.6143463042934,-4762.101767923003,771,False,time expired without intercept,22,-127762153.04659304,67742771.65472512,29377646.7400482,-15.477516980825431,-23.701312121429414,-10.271086230918861
85,11040,369530577.2495771,101413980.4804984,24,2193.971735994494,555.194097690106,52.604423537439835,-5299.1504447865445,616,False,time expired without intercept,24,-127761442.07302755,67742584.7191825,29378006.378577214,-15.487345229420646,-23.695756074374234,-10.2683098649272
86,11040,370381812.39638376,101413679.9200271,23,2202.7992302139014,546.176096809716,52.637854613752836,-4746.454943549002,684,False,time expired without intercept,23,-127762177.97632445,67742798.69696136,29378406.260953423,-15.47912030178733,-23.699304888263164,-10.267686235128396
87,11040,369349381.35555655,101414681.66981353,22,2202.330151307391,548.788443027865,52.60665706522923,-5572.860269064688,687,False,time expired without intercept,22,-127761643.76082118,67742829.65493155,29378359.237569235,-15.474952441191736,-23.698619461242288,-10.273209633241365
88,11040,370355241.18373525,101414078.0434313,23,2205.946473772065,545.8241796089187,52.714088860099274,-4578.951198978385,726,False,time expired without intercept,23,-127761948.90176582,67742727.27587724,29377973.92865601,-15.480528007168859,-23.697238887260273,-10.26561570953097
89,11040,370441068.9313261,101413526.34626733,24,2199.5033036926434,550.0771278330144,52.68904766654618,-4625.88645089828,654,False,time expired without intercept,24,-127761893.97825019,67742793.8756077,29378507.329888232,-15.481244843796546,-23.690557878040426,-10.268553501979799
