seed,pos_dev_max_km,pos_dev_rms_km,pos_dev_final_km,vel_dev_max_km_s,vel_dev_rms_km_s,final_mars_dist_km,is_intercepted
1042,310457212.9783372,198044439.77369404,76279542.22751197,56.293708348006945,35.58800772344897,370441867.6074311,False
1043,309981258.2385546,197410636.56270552,73988217.55482715,56.353317292537746,35.56543080829895,370074894.53874546,False
1044,309378590.39594555,196403455.33841145,68191007.75400351,56.39523564334425,35.49693459110791,367880198.59208477,False
1045,310091667.52959937,197612631.6480717,74659457.3555107,56.35478623615927,35.57592160091775,370610246.5625426,False
1046,309997261.36627007,197434025.15202498,74040549.32649124,56.354883891387026,35.56469517913337,369951368.67638725,False
1047,309516241.42957443,196751434.70757508,70462316.88103518,56.402768825811236,35.52596876412918,368982568.6470508,False
1048,309653913.6246368,196805714.06968263,70246943.18277313,56.36465054908279,35.52570594249312,368719872.13983554,False
1049,309745777.9090342,197062429.50230336,72292213.71713401,56.376957365286245,35.546106491535724,369398874.6130479,False
1050,309537174.09720564,196747519.6680836,70391356.61767446,56.389536615964715,35.52335963610613,368803678.892029,False
1051,309244994.8388735,196411582.75062457,68915456.36415432,56.4247559966351,35.50502026787706,368351085.0779315,False
1052,309142474.8941508,196240853.5734508,68036478.16005322,56.451608459292075,35.49604808221074,368120348.4224796,False
1053,309403521.2141311,196645003.11437714,69828389.84623955,56.4243686240993,35.516741776317694,368771197.64087003,False
1054,310041787.0288941,197374691.49160656,72971093.15585117,56.32991406100407,35.55245083805141,369396945.64281654,False
1055,310060711.9982039,197548782.10051027,74077558.98794617,56.3394553300036,35.56697801309486,370116684.58174044,False
1056,309810179.86568415,197209906.99806136,72541765.70544377,56.369372836549836,35.54506212665703,369365015.69672805,False
1057,309607156.264393,196934060.0384428,71728430.40763287,56.39157381843317,35.53828763049046,369447047.163442,False
1058,310288712.9784182,197799100.58751562,75460224.30326939,56.30982881507726,35.583516469918244,370323131.7963038,False
1059,310132973.9823761,197549921.00608116,73895438.61100003,56.331539834789744,35.56673898912708,369826448.6177145,False
1060,309461762.38244075,196719629.09245577,70820689.2201884,56.41477469496738,35.52996835857124,369105482.66411674,False
1061,309694279.58459854,196960422.3116389,71716261.91481292,56.373554716017566,35.53794285861398,369051714.5848134,False
