operator,n_calls,self_cpu_us,share_of_graph_pct
aten::addmm,600,0.4688120000000048,29.099851897463125
aten::tanh,400,0.1773509999999959,11.008437996183568
aten::linear,600,0.17296999999999707,10.736502868322612
forward,200,0.15038599999999644,9.334680698130041
aten::t,600,0.1185480000000116,7.358449106978407
aten::copy_,600,0.10262100000000225,6.369836739609052
aten::as_strided,1200,0.08471400000000244,5.258322853599603
aten::transpose,600,0.08384399999998401,5.204320671165432
aten::expand,600,0.08219300000000317,5.101840667491989
aten::detach,400,0.06543000000000189,4.061336547808178
detach,400,0.045444000000000075,2.820776067225888
aten::resolve_conj,1600,0.02903000000000111,1.8019348919894929
aten::lift_fresh,200,0.010447000000000458,0.6484606895147894
aten::to,400,0.00983800000000133,0.6106591618117241
aten::resolve_neg,400,0.009418000000000688,0.5845891427060846
