parameter_category,parameter_value,numerical_val,mean_miss_km,std_miss_km,delta_from_baseline_km,mean_fuel_kg
Launch Velocity Error,0.5 m/s,0.5,212278918.73920178,25972.81582073996,-9877.920576632023,1099.0
Launch Velocity Error,1.0 m/s,1.0,212276019.87409985,38592.45623400335,-12776.785678565502,1099.0
Launch Velocity Error,5.0 m/s,5.0,212308668.1094442,222197.05701670187,19871.449665784836,1099.0
Launch Velocity Error,10.0 m/s,10.0,212332249.8196386,438725.5141833227,43453.15986019373,1099.0
Launch Velocity Error,20.0 m/s,20.0,212387080.8817641,873275.8824494459,98284.22198569775,1099.0
Observation Noise,10 km,10.0,212288796.78777617,0.21636815053857067,0.1279977560043335,1099.0
Observation Noise,50 km,50.0,212288796.79101682,0.47008000180151305,0.1312384009361267,1099.0
Observation Noise,100 km,100.0,212288796.68782622,0.5378092561133527,0.028047800064086914,1099.0
Observation Noise,200 km,200.0,212288796.7699695,0.9341725895008608,0.11019107699394226,1099.0
Observation Noise,300 km,300.0,212288796.90199092,1.276052624297393,0.24221250414848328,1099.0
Thrust Magnitude Error,0.5%,0.5,365221538.1028551,476.2729060302076,152932741.44307667,587.4905488312386
Thrust Magnitude Error,1.0%,1.0,365221382.0827508,941.4042345806278,152932585.42297238,587.4879236510174
Thrust Magnitude Error,2.5%,2.5,365220540.0479768,2400.977324968316,152931743.38819838,587.4791642158978
Thrust Magnitude Error,5.0%,5.0,365218526.1419675,4587.730103336661,152929729.48218906,587.4365049582519
Thrust Magnitude Error,10.0%,10.0,365210776.2513147,8978.097480567181,152921979.59153628,587.2987902062235
Thruster Outage Rate,0.1% / hr,0.1,212901361.2764717,334803.709249215,612564.6166932881,1099.0
Thruster Outage Rate,0.5% / hr,0.5,216339033.8623764,1652725.723903764,4050237.2025979757,1099.0
Thruster Outage Rate,1.0% / hr,1.0,219532077.34002048,2052028.0060190784,7243280.680242062,1099.0
Thruster Outage Rate,2.0% / hr,2.0,224824910.99178314,2610927.1186510897,12536114.332004726,1099.0
Thruster Outage Rate,5.0% / hr,5.0,239480326.6223871,2555840.029702969,27191529.962608695,1099.0
Pointing Alignment Jitter,0.10°,0.1,207972112.22725278,2.9802322387695312e-08,-4316684.432525635,1099.0
Pointing Alignment Jitter,0.25°,0.25,207972112.22725278,2.9802322387695312e-08,-4316684.432525635,1099.0
Pointing Alignment Jitter,0.50°,0.5,207972112.22725278,2.9802322387695312e-08,-4316684.432525635,1099.0
Pointing Alignment Jitter,1.00°,1.0,207972112.22725278,2.9802322387695312e-08,-4316684.432525635,1099.0
Pointing Alignment Jitter,2.00°,2.0,207972112.22725278,2.9802322387695312e-08,-4316684.432525635,1099.0
