hours,efficiency_measured,efficiency_fitted,residual
0,0.552,0.5518437003425107,0.00015629965748931163
100,0.551,0.5511494008302138,-0.00014940083021375283
200,0.5504,0.5504767452859457,-7.674528594570074e-05
300,0.5498,0.5498244249554907,-2.4424955490709443e-05
500,0.5486,0.5485761179271464,2.388207285353161e-05
700,0.5475,0.5473960902060423,0.00010390979395769051
900,0.5464,0.5462772581578635,0.00012274184213645345
1000,0.5456,0.5457388692139897,-0.00013886921398975627
1500,0.5432,0.5432316840717052,-3.168407170517362e-05
2000,0.541,0.5409857090086568,1.4290991343202109e-05
