case,k,tau,eol_efficiency,eol_efficiency_pct_change,eol_isp_s,dv_km_s,dv_pct_change
grid,0.010789690895277605,1529.1738774790872,0.5291150043628644,1.975179483652418,1716.1664453080134,8710.088793550789,-0.7966927634113883
grid,0.010789690895277605,2293.7608162186307,0.5328526955040465,2.6955365361526824,1726.9926490807736,8752.75281105935,-0.3107721560367761
grid,0.010789690895277605,3058.3477549581744,0.5353550804151337,3.177815716181949,1734.2407945112018,8780.038726711215,0.0
grid,0.010789690895277605,3822.934693697718,0.5371928955008515,3.5320138048366214,1739.564016752711,8799.371606431898,0.22019128072712746
grid,0.010789690895277605,4587.521632437261,0.5386188448541308,3.806833910175263,1743.6942719517417,8813.938429736638,0.3860996981971302
grid,0.010789690895277605,5352.1085711768055,0.5397666976238482,4.028057068179805,1747.0190217817014,8825.37955573244,0.5164080755508033
grid,0.010789690895277605,6116.695509916349,0.5407155745557088,4.210932047412158,1749.7674390884201,8834.640750979537,0.6218881939803828
grid,0.016184536342916406,1529.1738774790872,0.5177506563730412,-0.21504649070334292,1716.1664453080134,8710.088793550789,-0.7966927634113883
grid,0.016184536342916406,2293.7608162186307,0.5233571930848143,0.8654890880470643,1726.9926490807736,8752.75281105935,-0.3107721560367761
grid,0.016184536342916406,3058.3477549581744,0.5271107704514453,1.5889078580909848,1734.2407945112018,8780.038726711215,0.0
grid,0.016184536342916406,3822.934693697718,0.5298674930800219,2.1202049910729834,1739.564016752711,8799.371606431898,0.22019128072712746
grid,0.016184536342916406,4587.521632437261,0.5320064171099409,2.532435149080945,1743.6942719517417,8813.938429736638,0.3860996981971302
grid,0.016184536342916406,5352.1085711768055,0.533728196264517,2.864269886087748,1747.0190217817014,8825.37955573244,0.5164080755508033
grid,0.016184536342916406,6116.695509916349,0.5351515116623079,3.1385823549362777,1749.7674390884201,8834.640750979537,0.6218881939803828
grid,0.02157938179055521,1529.1738774790872,0.5063863083832181,-2.4052724650590824,1716.1664453080134,8710.088793550789,-0.7966927634113883
grid,0.02157938179055521,2293.7608162186307,0.5138616906655822,-0.9645583600585539,1726.9926490807736,8752.75281105935,-0.3107721560367761
grid,0.02157938179055521,3058.3477549581744,0.5188664604877568,0.0,1734.2407945112018,8780.038726711215,0.0
grid,0.02157938179055521,3822.934693697718,0.5225420906591922,0.7083961773093238,1739.564016752711,8799.371606431898,0.22019128072712746
grid,0.02157938179055521,4587.521632437261,0.5253939893657509,1.2580363879866063,1743.6942719517417,8813.938429736638,0.3860996981971302
grid,0.02157938179055521,5352.1085711768055,0.5276896949051857,1.7004827039956907,1747.0190217817014,8825.37955573244,0.5164080755508033
grid,0.02157938179055521,6116.695509916349,0.5295874487689068,2.0662326624603757,1749.7674390884201,8834.640750979537,0.6218881939803828
grid,0.02697422723819401,1529.1738774790872,0.49502196039339486,-4.595498439414843,1716.1664453080134,8710.088793550789,-0.7966927634113883
grid,0.02697422723819401,2293.7608162186307,0.50436618824635,-2.7946058081641723,1726.9926490807736,8752.75281105935,-0.3107721560367761
