run,step,metric,value
PPO_1,11040,reward,-954081.625
PPO_1,16560,reward,-954081.625
PPO_1,22080,reward,-954185.875
PPO_1,27600,reward,-954185.875
PPO_1,33120,reward,-954490.3125
PPO_1,38640,reward,-954490.3125
PPO_1,44160,reward,-954737.875
PPO_1,52440,reward,-954737.875
PPO_1,57960,reward,-954587.25
PPO_1,63480,reward,-954587.25
PPO_1,69000,reward,-954419.5
PPO_1,74520,reward,-954419.5
PPO_1,80040,reward,-954269.4375
PPO_1,85560,reward,-954269.4375
PPO_1,93840,reward,-954087.1875
PPO_1,99360,reward,-953922.625
PPO_1,104880,reward,-953922.625
PPO_1,110400,reward,-953817.6875
PPO_1,115920,reward,-953817.6875
PPO_1,121440,reward,-953759.9375
PPO_1,129720,reward,-953759.9375
PPO_1,135240,reward,-953649.0
PPO_1,140760,reward,-953649.0
PPO_1,146280,reward,-953561.5
PPO_1,151800,reward,-953561.5
PPO_1,157320,reward,-953475.5
PPO_1,162840,reward,-953475.5
PPO_1,171120,reward,-953352.4375
PPO_1,176640,reward,-953156.5
PPO_1,182160,reward,-953156.5
PPO_1,187680,reward,-952994.4375
PPO_1,193200,reward,-952994.4375
PPO_1,198720,reward,-952854.4375
PPO_1,207000,reward,-952854.4375
PPO_1,212520,reward,-952723.75
PPO_1,218040,reward,-952723.75
PPO_1,223560,reward,-952589.5
PPO_1,229080,reward,-952589.5
PPO_1,234600,reward,-952514.1875
PPO_1,240120,reward,-952514.1875
PPO_1,248400,reward,-952440.375
PPO_1,253920,reward,-952371.875
PPO_1,259440,reward,-952371.875
PPO_1,264960,reward,-952322.0
PPO_1,270480,reward,-952322.0
PPO_1,276000,reward,-952295.8125
PPO_1,284280,reward,-952295.8125
PPO_1,289800,reward,-952284.1875
PPO_1,295320,reward,-952284.1875
PPO_1,300840,reward,-952283.875
PPO_1,306360,reward,-952283.875
PPO_1,311880,reward,-952286.0
PPO_1,317400,reward,-952286.0
PPO_1,325680,reward,-952310.6875
PPO_1,331200,reward,-952328.625
PPO_1,336720,reward,-952328.625
PPO_1,342240,reward,-952340.375
PPO_1,347760,reward,-952340.375
PPO_1,353280,reward,-952356.125
PPO_1,361560,reward,-952356.125
PPO_1,367080,reward,-952402.5625
PPO_1,372600,reward,-952402.5625
PPO_1,378120,reward,-952455.0625
PPO_1,383640,reward,-952455.0625
PPO_1,389160,reward,-952490.375
PPO_1,394680,reward,-952490.375
PPO_1,402960,reward,-952491.5625
PPO_1,408480,reward,-952513.6875
PPO_1,414000,reward,-952513.6875
PPO_1,419520,reward,-952522.75
PPO_1,425040,reward,-952522.75
PPO_1,430560,reward,-952558.3125
PPO_1,438840,reward,-952558.3125
PPO_1,444360,reward,-952606.875
PPO_1,449880,reward,-952606.875
PPO_1,455400,reward,-952673.1875
PPO_1,460920,reward,-952673.1875
PPO_1,466440,reward,-952737.125
PPO_1,471960,reward,-952737.125
PPO_1,480240,reward,-952803.25
PPO_1,485760,reward,-952882.375
PPO_1,491280,reward,-952882.375
PPO_1,496800,reward,-952947.6875
PPO_1,502320,reward,-952947.6875
PPO_1,507840,reward,-952990.9375
PPO_1,513360,reward,-952990.9375
PPO_1,521640,reward,-953040.0625
PPO_1,527160,reward,-953040.0625
PPO_1,532680,reward,-953095.375
PPO_1,538200,reward,-953095.375
PPO_1,543720,reward,-953140.8125
PPO_1,549240,reward,-953140.8125
PPO_1,557520,reward,-953169.6875
PPO_1,563040,reward,-953203.5
PPO_1,568560,reward,-953203.5
PPO_1,574080,reward,-953240.9375
PPO_1,579600,reward,-953240.9375
PPO_1,585120,reward,-953282.8125
PPO_1,590640,reward,-953282.8125
PPO_1,598920,reward,-953310.3125
PPO_1,604440,reward,-953310.3125
PPO_1,609960,reward,-953326.1875
PPO_1,615480,reward,-953326.1875
PPO_1,621000,reward,-953328.0
PPO_1,626520,reward,-953328.0
PPO_1,634800,reward,-953323.1875
PPO_1,640320,reward,-953313.875
PPO_1,645840,reward,-953313.875
PPO_1,651360,reward,-953315.625
PPO_1,656880,reward,-953315.625
PPO_1,662400,reward,-953327.4375
PPO_1,667920,reward,-953327.4375
PPO_1,676200,reward,-953343.5
PPO_1,681720,reward,-953343.5
PPO_1,687240,reward,-953344.5625
PPO_1,692760,reward,-953344.5625
PPO_1,698280,reward,-953351.375
PPO_1,703800,reward,-953351.375
PPO_1,712080,reward,-953369.3125
PPO_1,717600,reward,-953383.75
PPO_1,723120,reward,-953383.75
PPO_1,728640,reward,-953410.625
PPO_1,734160,reward,-953410.625
PPO_1,739680,reward,-953438.5
PPO_1,745200,reward,-953438.5
PPO_1,753480,reward,-953471.6875
PPO_1,759000,reward,-953471.6875
PPO_1,764520,reward,-953511.875
PPO_1,770040,reward,-953511.875
PPO_1,775560,reward,-953560.5
PPO_1,781080,reward,-953560.5
PPO_1,789360,reward,-953611.125
PPO_1,794880,reward,-953651.3125
PPO_1,800400,reward,-953651.3125
PPO_1,805920,reward,-953692.625
PPO_1,811440,reward,-953692.625
PPO_1,816960,reward,-953726.5
PPO_1,822480,reward,-953726.5
PPO_1,830760,reward,-953768.75
PPO_1,836280,reward,-953768.75
PPO_1,841800,reward,-953809.0
PPO_1,847320,reward,-953809.0
PPO_1,852840,reward,-953860.9375
PPO_1,858360,reward,-953860.9375
PPO_1,866640,reward,-953911.5625
PPO_1,872160,reward,-953951.75
PPO_1,877680,reward,-953951.75
PPO_1,883200,reward,-954008.5625
PPO_1,888720,reward,-954008.5625
PPO_1,894240,reward,-954071.0625
PPO_1,899760,reward,-954071.0625
PPO_1,908040,reward,-954114.875
PPO_1,913560,reward,-954114.875
PPO_1,919080,reward,-954162.0
PPO_1,924600,reward,-954162.0
PPO_1,930120,reward,-954209.625
PPO_1,935640,reward,-954209.625
PPO_1,943920,reward,-954261.4375
PPO_1,949440,reward,-954315.0625
PPO_1,954960,reward,-954315.0625
PPO_1,960480,reward,-954369.0
PPO_1,966000,reward,-954369.0
PPO_1,971520,reward,-954423.375
PPO_1,977040,reward,-954423.375
PPO_1,985320,reward,-954471.4375
PPO_1,990840,reward,-954471.4375
PPO_1,996360,reward,-954517.8125
PPO_1,1001880,reward,-954517.8125
PPO_1,1007400,reward,-954568.25
PPO_1,1012920,reward,-954568.25
PPO_1,1018440,reward,-954618.5
PPO_1,1026720,reward,-954673.25
PPO_1,1032240,reward,-954673.25
PPO_1,1037760,reward,-954714.625
PPO_1,1043280,reward,-954714.625
PPO_1,1048800,reward,-954757.3125
PPO_1,1054320,reward,-954757.3125
PPO_1,1062600,reward,-954805.0
PPO_1,1068120,reward,-954805.0
PPO_1,1073640,reward,-954865.0625
PPO_1,1079160,reward,-954865.0625
PPO_1,1084680,reward,-954911.0625
PPO_1,1090200,reward,-954911.0625
PPO_1,1095720,reward,-954957.375
PPO_1,1104000,reward,-955001.8125
PPO_1,1109520,reward,-955001.8125
PPO_1,1115040,reward,-955050.875
PPO_1,1120560,reward,-955050.875
PPO_1,1126080,reward,-955098.25
PPO_1,1131600,reward,-955098.25
PPO_1,1139880,reward,-955134.5
PPO_1,1145400,reward,-955134.5
PPO_1,1150920,reward,-955172.375
PPO_1,1156440,reward,-955172.375
PPO_1,1161960,reward,-955224.9375
PPO_1,1167480,reward,-955224.9375
PPO_1,1173000,reward,-955285.75
PPO_1,1181280,reward,-955340.375
PPO_1,1186800,reward,-955340.375
PPO_1,1192320,reward,-955403.4375
PPO_1,1197840,reward,-955403.4375
PPO_1,1203360,reward,-955463.4375
PPO_1,1208880,reward,-955463.4375
PPO_1,1217160,reward,-955527.5625
PPO_1,1222680,reward,-955527.5625
PPO_1,1228200,reward,-955585.5625
PPO_1,1233720,reward,-955585.5625
PPO_1,1239240,reward,-955646.25
PPO_1,1244760,reward,-955646.25
PPO_1,1250280,reward,-955709.3125
PPO_1,1258560,reward,-955769.125
PPO_1,1264080,reward,-955769.125
PPO_1,1269600,reward,-955836.3125
PPO_1,1275120,reward,-955836.3125
PPO_1,1280640,reward,-955914.0625
PPO_1,1286160,reward,-955914.0625
PPO_1,1294440,reward,-955995.875
PPO_1,1299960,reward,-955995.875
PPO_1,1305480,reward,-956078.9375
PPO_1,1311000,reward,-956078.9375
PPO_1,1316520,reward,-956159.0
PPO_1,1322040,reward,-956159.0
PPO_1,1327560,reward,-956251.25
PPO_1,1335840,reward,-956331.0625
PPO_1,1341360,reward,-956331.0625
PPO_1,1346880,reward,-956414.25
PPO_1,1352400,reward,-956414.25
PPO_1,1357920,reward,-956500.75
PPO_1,1363440,reward,-956500.75
PPO_1,1371720,reward,-956583.125
PPO_1,1377240,reward,-956583.125
PPO_1,1382760,reward,-956658.75
PPO_1,1388280,reward,-956658.75
PPO_1,1393800,reward,-956733.4375
PPO_1,1399320,reward,-956733.4375
PPO_1,1404840,reward,-956798.75
PPO_1,1413120,reward,-956862.9375
PPO_1,1418640,reward,-956862.9375
PPO_1,1424160,reward,-956927.75
PPO_1,1429680,reward,-956927.75
PPO_1,1435200,reward,-956994.75
PPO_1,1440720,reward,-956994.75
PPO_1,1446240,reward,-957064.0
PPO_1,1454520,reward,-957064.0
PPO_1,1460040,reward,-957130.3125
PPO_1,1465560,reward,-957130.3125
PPO_1,1471080,reward,-957182.625
PPO_1,1476600,reward,-957182.625
PPO_1,1482120,reward,-957234.125
PPO_1,1490400,reward,-957290.875
PPO_1,1495920,reward,-957290.875
PPO_1,1501440,reward,-957356.875
PPO_1,1506960,reward,-957356.875
PPO_1,1512480,reward,-957413.0625
PPO_1,1518000,reward,-957413.0625
PPO_1,1523520,reward,-957476.5625
PPO_1,1531800,reward,-957476.5625
PPO_1,1537320,reward,-957534.0
PPO_1,1542840,reward,-957534.0
PPO_1,1548360,reward,-957580.625
PPO_1,1553880,reward,-957580.625
PPO_1,1559400,reward,-957623.0
PPO_1,1567680,reward,-957664.1875
PPO_1,1573200,reward,-957664.1875
PPO_1,1578720,reward,-957701.6875
PPO_1,1584240,reward,-957701.6875
PPO_1,1589760,reward,-957737.5
PPO_1,1595280,reward,-957737.5
PPO_1,1600800,reward,-957772.625
PPO_1,1609080,reward,-957772.625
PPO_1,1614600,reward,-957817.8125
PPO_1,1620120,reward,-957817.8125
PPO_1,1625640,reward,-957861.5625
PPO_1,1631160,reward,-957861.5625
PPO_1,1636680,reward,-957898.25
PPO_1,1644960,reward,-957937.5
PPO_1,1650480,reward,-957937.5
PPO_1,1656000,reward,-957986.3125
PPO_1,1661520,reward,-957986.3125
PPO_1,1667040,reward,-958026.8125
PPO_1,1672560,reward,-958026.8125
PPO_1,1678080,reward,-958074.25
PPO_1,1686360,reward,-958074.25
PPO_1,1691880,reward,-958118.0
PPO_1,1697400,reward,-958118.0
PPO_1,1702920,reward,-958163.3125
PPO_1,1708440,reward,-958163.3125
PPO_1,1713960,reward,-958214.75
PPO_1,1722240,reward,-958278.625
PPO_1,1727760,reward,-958278.625
PPO_1,1733280,reward,-958347.0
PPO_1,1738800,reward,-958347.0
PPO_1,1744320,reward,-958416.6875
PPO_1,1749840,reward,-958416.6875
PPO_1,1755360,reward,-958485.125
PPO_1,1763640,reward,-958485.125
PPO_1,1769160,reward,-958541.9375
PPO_1,1774680,reward,-958541.9375
PPO_1,1780200,reward,-958601.75
PPO_1,1785720,reward,-958601.75
PPO_1,1791240,reward,-958669.3125
PPO_1,1799520,reward,-958733.5
PPO_1,1805040,reward,-958733.5
PPO_1,1810560,reward,-958790.6875
PPO_1,1816080,reward,-958790.6875
PPO_1,1821600,reward,-958847.0
PPO_1,1827120,reward,-958847.0
PPO_1,1832640,reward,-958895.25
PPO_1,1840920,reward,-958895.25
PPO_1,1846440,reward,-958942.9375
PPO_1,1851960,reward,-958942.9375
PPO_1,1857480,reward,-958987.375
PPO_1,1863000,reward,-958987.375
PPO_1,1868520,reward,-959031.5625
PPO_1,1876800,reward,-959071.625
PPO_1,1882320,reward,-959071.625
PPO_1,1887840,reward,-959104.25
PPO_1,1893360,reward,-959104.25
PPO_1,1898880,reward,-959144.4375
PPO_1,1904400,reward,-959144.4375
PPO_1,1909920,reward,-959181.375
PPO_1,1918200,reward,-959181.375
PPO_1,1923720,reward,-959223.4375
PPO_1,1929240,reward,-959223.4375
PPO_1,1934760,reward,-959262.3125
PPO_1,1940280,reward,-959262.3125
PPO_1,1945800,reward,-959295.8125
PPO_1,1951320,reward,-959295.8125
PPO_1,1959600,reward,-959327.125
PPO_1,1965120,reward,-959358.6875
PPO_1,1970640,reward,-959358.6875
PPO_1,1976160,reward,-959395.0
PPO_1,1981680,reward,-959395.0
PPO_1,1987200,reward,-959418.75
PPO_1,1995480,reward,-959418.75
PPO_1,2001000,reward,-959436.8125
PPO_1,2006520,reward,-959436.8125
PPO_1,2012040,reward,-959472.1875
PPO_1,2017560,reward,-959472.1875
PPO_1,2023080,reward,-959501.875
PPO_1,2028600,reward,-959501.875
PPO_1,2036880,reward,-959530.8125
PPO_1,2042400,reward,-959560.25
PPO_1,2047920,reward,-959560.25
PPO_1,2053440,reward,-959584.875
PPO_1,2058960,reward,-959584.875
PPO_1,2064480,reward,-959610.9375
PPO_1,2072760,reward,-959610.9375
PPO_1,2078280,reward,-959636.25
PPO_1,2083800,reward,-959636.25
PPO_1,2089320,reward,-959664.375
PPO_1,2094840,reward,-959664.375
PPO_1,2100360,reward,-959694.8125
PPO_1,2105880,reward,-959694.8125
PPO_1,2114160,reward,-959717.875
PPO_1,2119680,reward,-959740.9375
PPO_1,2125200,reward,-959740.9375
PPO_1,2130720,reward,-959761.0625
PPO_1,2136240,reward,-959761.0625
PPO_1,2141760,reward,-959791.625
PPO_1,2150040,reward,-959791.625
PPO_1,2155560,reward,-959817.125
PPO_1,2161080,reward,-959817.125
PPO_1,2166600,reward,-959842.6875
PPO_1,2172120,reward,-959842.6875
PPO_1,2177640,reward,-959850.1875
PPO_1,2183160,reward,-959850.1875
PPO_1,2191440,reward,-959871.5625
PPO_1,2196960,reward,-959895.3125
PPO_1,2202480,reward,-959895.3125
PPO_1,2208000,reward,-959918.3125
PPO_1,2213520,reward,-959918.3125
PPO_1,2219040,reward,-959947.1875
PPO_1,2227320,reward,-959947.1875
PPO_1,2232840,reward,-959978.1875
PPO_1,2238360,reward,-959978.1875
PPO_1,2243880,reward,-960015.3125
PPO_1,2249400,reward,-960015.3125
PPO_1,2254920,reward,-960044.875
PPO_1,2260440,reward,-960044.875
PPO_1,2268720,reward,-960072.75
PPO_1,2274240,reward,-960098.875
PPO_1,2279760,reward,-960098.875
PPO_1,2285280,reward,-960136.75
PPO_1,2290800,reward,-960136.75
PPO_1,2296320,reward,-960168.6875
PPO_1,2304600,reward,-960168.6875
PPO_1,2310120,reward,-960202.125
PPO_1,2315640,reward,-960202.125
PPO_1,2321160,reward,-960230.0625
PPO_1,2326680,reward,-960230.0625
PPO_1,2332200,reward,-960261.625
PPO_1,2337720,reward,-960261.625
PPO_1,2346000,reward,-960296.375
PPO_1,2351520,reward,-960330.375
PPO_1,2357040,reward,-960330.375
PPO_1,2362560,reward,-960370.75
PPO_1,2368080,reward,-960370.75
PPO_1,2373600,reward,-960405.5625
PPO_1,2381880,reward,-960405.5625
PPO_1,5520,value_loss,1474737.125
PPO_1,11040,value_loss,2226386.5
PPO_1,16560,value_loss,1473692.375
PPO_1,22080,value_loss,2217178.75
PPO_1,27600,value_loss,1466519.625
PPO_1,33120,value_loss,2218239.5
PPO_1,38640,value_loss,1461342.0
PPO_1,46920,value_loss,9320672.0
PPO_1,52440,value_loss,67995.15625
PPO_1,57960,value_loss,9278058.0
PPO_1,63480,value_loss,66836.6328125
PPO_1,69000,value_loss,9258482.0
PPO_1,74520,value_loss,65533.984375
PPO_1,82800,value_loss,1435651.875
PPO_1,88320,value_loss,2169146.25
PPO_1,93840,value_loss,1429091.125
PPO_1,99360,value_loss,2162649.25
PPO_1,104880,value_loss,1424469.75
PPO_1,110400,value_loss,2152928.0
PPO_1,118680,value_loss,61275.78515625
PPO_1,124200,value_loss,9171416.0
PPO_1,129720,value_loss,60332.6484375
PPO_1,135240,value_loss,9140139.0
PPO_1,140760,value_loss,59373.6640625
PPO_1,146280,value_loss,9128275.0
PPO_1,151800,value_loss,57920.06640625
PPO_1,160080,value_loss,1394113.5
PPO_1,165600,value_loss,2114152.5
PPO_1,171120,value_loss,1387548.625
PPO_1,176640,value_loss,2098780.25
PPO_1,182160,value_loss,1382311.625
PPO_1,187680,value_loss,2090487.75
PPO_1,195960,value_loss,53803.94140625
PPO_1,201480,value_loss,9011311.0
PPO_1,207000,value_loss,53537.07421875
PPO_1,212520,value_loss,8985182.0
PPO_1,218040,value_loss,52010.45703125
PPO_1,223560,value_loss,8968522.0
PPO_1,231840,value_loss,2059430.125
PPO_1,237360,value_loss,1354658.375
PPO_1,242880,value_loss,2056123.0
PPO_1,248400,value_loss,1349112.375
PPO_1,253920,value_loss,2047772.25
PPO_1,259440,value_loss,1342503.625
PPO_1,264960,value_loss,2046907.0
PPO_1,273240,value_loss,47743.0078125
PPO_1,278760,value_loss,8920530.0
PPO_1,284280,value_loss,47051.1875
PPO_1,289800,value_loss,8907844.0
PPO_1,295320,value_loss,46242.48828125
PPO_1,300840,value_loss,8892654.0
PPO_1,309120,value_loss,2025387.5
PPO_1,314640,value_loss,1314169.625
PPO_1,320160,value_loss,2025480.75
PPO_1,325680,value_loss,1308696.5
PPO_1,331200,value_loss,2018199.25
PPO_1,336720,value_loss,1302397.0
PPO_1,345000,value_loss,8840674.0
PPO_1,350520,value_loss,42533.484375
PPO_1,356040,value_loss,8822084.0
PPO_1,361560,value_loss,42105.1015625
PPO_1,367080,value_loss,8821473.0
PPO_1,372600,value_loss,41403.484375
PPO_1,378120,value_loss,8807968.0
PPO_1,386400,value_loss,1985666.125
PPO_1,391920,value_loss,1275004.25
PPO_1,397440,value_loss,1974442.0
PPO_1,402960,value_loss,1271600.75
PPO_1,408480,value_loss,1969280.875
PPO_1,414000,value_loss,1265284.25
PPO_1,422280,value_loss,8722332.0
PPO_1,427800,value_loss,37848.46484375
PPO_1,433320,value_loss,8729776.0
PPO_1,438840,value_loss,37169.45703125
PPO_1,444360,value_loss,8721578.0
PPO_1,449880,value_loss,36395.265625
PPO_1,458160,value_loss,1241198.5
PPO_1,463680,value_loss,1957818.375
PPO_1,469200,value_loss,1236524.0
PPO_1,474720,value_loss,1952280.5
PPO_1,480240,value_loss,1230939.625
PPO_1,485760,value_loss,1951028.375
PPO_1,491280,value_loss,1225750.625
PPO_1,499560,value_loss,8666907.0
PPO_1,505080,value_loss,33187.078125
PPO_1,510600,value_loss,8641787.0
PPO_1,516120,value_loss,32830.8984375
PPO_1,521640,value_loss,8632766.0
PPO_1,527160,value_loss,32293.2265625
PPO_1,535440,value_loss,1203606.375
PPO_1,540960,value_loss,1911946.0
PPO_1,546480,value_loss,1196894.5
PPO_1,552000,value_loss,1903898.25
PPO_1,557520,value_loss,1190924.625
PPO_1,563040,value_loss,1901438.25
PPO_1,571320,value_loss,29808.298828125
PPO_1,576840,value_loss,8554361.0
PPO_1,582360,value_loss,29204.9921875
PPO_1,587880,value_loss,8541428.0
PPO_1,593400,value_loss,28740.734375
PPO_1,598920,value_loss,8512753.0
PPO_1,604440,value_loss,28332.341796875
PPO_1,612720,value_loss,1164381.125
PPO_1,618240,value_loss,1859754.75
PPO_1,623760,value_loss,1157961.25
PPO_1,629280,value_loss,1854599.875
PPO_1,634800,value_loss,1152041.25
PPO_1,640320,value_loss,1847703.25
PPO_1,648600,value_loss,26324.521484375
PPO_1,654120,value_loss,8418218.0
PPO_1,659640,value_loss,25915.822265625
PPO_1,665160,value_loss,8414638.0
PPO_1,670680,value_loss,25423.923828125
PPO_1,676200,value_loss,8398687.0
PPO_1,684480,value_loss,1830224.25
PPO_1,690000,value_loss,1124123.5
PPO_1,695520,value_loss,1829055.875
PPO_1,701040,value_loss,1120614.125
PPO_1,706560,value_loss,1823230.375
PPO_1,712080,value_loss,1114988.375
PPO_1,717600,value_loss,1817338.0
PPO_1,725880,value_loss,23786.7734375
PPO_1,731400,value_loss,8337605.0
PPO_1,736920,value_loss,23435.794921875
PPO_1,742440,value_loss,8326926.0
PPO_1,747960,value_loss,23214.908203125
PPO_1,753480,value_loss,8319787.5
PPO_1,761760,value_loss,1803677.375
PPO_1,767280,value_loss,1089440.625
PPO_1,772800,value_loss,1804378.375
PPO_1,778320,value_loss,1084711.25
PPO_1,783840,value_loss,1799257.75
PPO_1,789360,value_loss,1079325.0
PPO_1,797640,value_loss,8269105.0
PPO_1,803160,value_loss,21813.234375
PPO_1,808680,value_loss,8256187.0
PPO_1,814200,value_loss,21586.5078125
PPO_1,819720,value_loss,8234430.5
PPO_1,825240,value_loss,21392.662109375
PPO_1,830760,value_loss,8227946.0
PPO_1,839040,value_loss,1767795.875
PPO_1,844560,value_loss,1053380.875
PPO_1,850080,value_loss,1769376.75
PPO_1,855600,value_loss,1048593.875
PPO_1,861120,value_loss,1761613.875
PPO_1,866640,value_loss,1042866.25
PPO_1,874920,value_loss,8177966.5
PPO_1,880440,value_loss,20596.33203125
PPO_1,885960,value_loss,8183815.5
PPO_1,891480,value_loss,20446.447265625
PPO_1,897000,value_loss,8174148.5
PPO_1,902520,value_loss,20355.197265625
PPO_1,910800,value_loss,1023910.1875
PPO_1,916320,value_loss,1734016.875
PPO_1,921840,value_loss,1019314.6875
