model,step,mean_reward,value_loss,explained_variance,entropy_loss,approx_kl,std,ep_len_mean,fps,capture_rate_pct
Feed-Forward MLP,2760,-0.9835152626037598,,,,,,,,
Feed-Forward MLP,5520,0.2727838158607483,275.3845603942871,-0.014597296714782715,-4.25150830745697,0.007000301033258438,0.997427225112915,,,
Feed-Forward MLP,8280,-0.3622201979160309,109.07192802429199,0.22444820404052734,-4.252204791704814,0.010624617338180542,1.0001943111419678,,,
Feed-Forward MLP,11040,-4161.668265,124.2098954518636,0.17333143949508667,-4.257458233833313,0.006707220803946257,1.0000396966934204,11040.0,,
Feed-Forward MLP,13800,-4161.668265,205.47052307128905,-0.16104888916015625,-4.257292397816976,0.006673210766166449,1.0007363557815552,11040.0,,
Feed-Forward MLP,16560,-4161.668265,213.4417266845703,-0.09498405456542969,-4.260900123914083,0.004072254523634911,1.0014958381652832,11040.0,,
Feed-Forward MLP,19320,-4161.668265,105.1019671122233,0.2935415506362915,-4.25979634920756,0.0073535549454391,0.9999620318412781,11040.0,,
Feed-Forward MLP,22080,-3648.4927325,103.14732818603515,0.87155681848526,-4.255602407455444,0.007402824703603983,0.9991252422332764,11040.0,,
Feed-Forward MLP,24840,-3648.4927325,126.01491889953613,0.10002654790878296,-4.251077198982239,0.005280081648379564,0.9970085024833679,11040.0,,
Feed-Forward MLP,27600,-3648.4927325,225.02921676635742,0.6527990102767944,-4.246378906567892,0.0061079771257936954,0.9960029125213623,11040.0,,
Feed-Forward MLP,30360,-3648.4927325,157.2603504180908,0.3188449740409851,-4.242729393641154,0.006440456490963697,0.9943545460700989,11040.0,,
Feed-Forward MLP,33120,-2830.544027666667,106.054949315389,0.8883359432220459,-4.238168493906657,0.00523366080597043,0.993035614490509,11040.0,,
Feed-Forward MLP,35880,-2830.544027666667,108.7335439046224,0.2309582233428955,-4.234794815381368,0.0044866097159683704,0.992699384689331,11040.0,,
Feed-Forward MLP,38640,-2830.544027666667,173.23053716023762,0.795046329498291,-4.234836506843567,0.007682767231017351,0.9926936030387878,11040.0,,
Feed-Forward MLP,41400,-2830.544027666667,237.47786076863608,0.2224302887916565,-4.233029182751974,0.005877440795302391,0.9910568594932556,11040.0,,
Feed-Forward MLP,44160,-1883.43657525,80.05485674540202,0.9452719688415527,-4.22715691725413,0.004717869684100151,0.9887423515319824,11040.0,,
Feed-Forward MLP,46920,-1883.43657525,85.12818069458008,0.5972316265106201,-4.217588075002035,0.004279553424566984,0.9851053357124329,11040.0,,
Feed-Forward MLP,49680,-1883.43657525,129.93202387491863,0.9030770063400269,-4.210804382960002,0.00515312934294343,0.9852234721183777,11040.0,,
Feed-Forward MLP,52440,-1883.43657525,239.39386520385742,0.0852779746055603,-4.210656309127808,0.005557518918067217,0.9835699200630188,11040.0,,
