model,step,mean_reward,value_loss,explained_variance,entropy_loss,approx_kl,std,ep_len_mean,fps,capture_rate_pct
Recurrent LSTM,2760,-1.0266461372375488,,,,,,,,
Recurrent LSTM,5520,0.4162793457508087,333.8136506398519,0.013683617115020752,-4.2648890097936,0.006441745441406965,1.0045146942138672,,,
Recurrent LSTM,8280,-0.5249020457267761,103.11741587320964,0.0884859561920166,-4.268585379918417,0.007174590602517128,1.0022966861724854,,,
Recurrent LSTM,11040,-4508.510716,125.93136711120606,0.054204344749450684,-4.252558811505636,0.007588676642626524,0.996640145778656,11040.0,,
Recurrent LSTM,13800,-4508.510716,265.89148508707683,-0.0012938976287841797,-4.247661280632019,0.0063825431279838085,0.9977436661720276,11040.0,,
Recurrent LSTM,16560,-4508.510716,338.24599011739093,-0.10820090770721436,-4.25129816532135,0.0008734264993108809,0.9988463521003723,11040.0,,
Recurrent LSTM,19320,-4508.510716,190.45439669291179,2.384185791015625e-07,-4.253220852216085,0.002428116276860237,0.9985029101371765,11040.0,,
Recurrent LSTM,22080,-4098.128814,165.2103691736857,0.48623359203338623,-4.248933060963949,0.0014400854706764221,0.9963563084602356,11040.0,,
Recurrent LSTM,24840,-4098.128814,161.07539329528808,0.0004501938819885254,-4.245507534344991,0.004676223732531071,0.9965439438819885,11040.0,,
Recurrent LSTM,27600,-4098.128814,445.3881711324056,-0.0015790462493896484,-4.2467299143473305,0.0004482780350372195,0.9968536496162415,11040.0,,
Recurrent LSTM,30360,-4098.128814,143.33427899678549,0.0003066062927246094,-4.247632145881653,0.011479966342449188,0.9968913197517395,11040.0,,
Recurrent LSTM,33120,-3862.8638736666667,124.52855599721273,0.3170417547225952,-4.245098757743835,0.0046619935892522335,0.9945276379585266,11040.0,,
Recurrent LSTM,35880,-3862.8638736666667,149.11756286621093,4.589557647705078e-05,-4.23476292292277,0.005762370303273201,0.9906253218650818,11040.0,,
Recurrent LSTM,38640,-3862.8638736666667,375.3049369812012,0.18756437301635742,-4.227206818262736,0.0028214615304023027,0.9901275038719177,11040.0,,
Recurrent LSTM,41400,-3862.8638736666667,159.97325948079427,0.09553855657577515,-4.225159875551859,0.008539126254618168,0.9881967902183533,11040.0,,
Recurrent LSTM,44160,-3338.60786275,131.45294869740803,0.6882774233818054,-4.219419312477112,0.004969342611730099,0.9871721267700195,11040.0,,
Recurrent LSTM,46920,-3338.60786275,120.82455476125081,6.377696990966797e-06,-4.220746405919393,0.004404074978083372,0.9888887405395508,11040.0,,
Recurrent LSTM,49680,-3338.60786275,311.39396883646646,-0.0019892454147338867,-4.224048153559367,0.006462910678237677,0.9890713691711426,11040.0,,
Recurrent LSTM,52440,-3338.60786275,322.6216293334961,0.6202932596206665,-4.2232072671254475,0.007898624055087566,0.9886372685432434,11040.0,,
